"tipo_desafio","desafio","quantidade","percentual","ano"
"Adoção de IA","Incerteza em relação a regulamentação ou questões regulatórias.","124","12.73","2024"
"Adoção de IA","Falta de Governança definida e estabelecida para o tema na Empresa","1","0.1","2024"
"Adoção de IA","Não sei opinar","1","0.1","2024"
"Adoção de IA","Não é aplicável","1","0.1","2024"
"Adoção de IA","Investimento em pessoas dedicadas para tal (Investimento de tempo/valor)","1","0.1","2024"
"Adoção de IA","Dados da empresa não estão prontos para uso de IA Generativa.","289","29.67","2024"
"Adoção de IA","Retorno sobre investimento (ROI) não comprovado de IA Generativa.","249","25.56","2024"
"Adoção de IA","Baixa performance de inferência.","1","0.1","2024"
"Adoção de IA","Ferramental no mercado","1","0.1","2024"
"Adoção de IA","Falta organização e planejamento para orientar como os funcionários podem utilizar a ferramenta no dia-a-dia","1","0.1","2024"
"Adoção de IA","Não temos nenhum impedimento.","1","0.1","2024"
"Adoção de IA","mas está no planejamento dentro de 2 anos para aumento significativo em soluções com o uso da IA","1","0.1","2024"
"Gestão de Dados","1","116","13.27","2023"
"Gestão de Dados","0","758","86.73","2023"
"Adoção de IA","0","520","63.18","2023"
"Adoção de IA","1","303","36.82","2023"
"Adoção de IA","Preocupações com segurança e privacidade de dados.","163","27.77","2025"
"Adoção de IA","Preocupações com propriedade intelectual (ou seja","54","9.2","2025"
"Adoção de IA","Nem sempre o cliente entende o custo e está disposto a pagar","1","0.17","2025"
"Adoção de IA","Outras prioridades deixam pouco tempo para explorar novas soluções de LLM","1","0.17","2025"
"Adoção de IA","Falta de visão dos C Level","1","0.17","2025"
"Adoção de IA","Depende do cliente","1","0.17","2025"
"Adoção de IA","Outros","1","0.17","2025"
"Adoção de IA","Falta de espaço para investimento massivo no curto prazo","1","0.17","2025"
"Adoção de IA","ninguém no mundo real suporta mais isso","1","0.17","2025"
"Adoção de IA","Retorno sobre investimento (ROI) não comprovado de IA Generativa.","167","28.45","2025"
"Adoção de IA","número de pessoas na equipe","1","0.17","2025"
"Adoção de IA","Falta de expertise das equipes técnicas ou falta de recursos internos.","228","38.84","2025"
"Adoção de IA","Falta de profissional qualificado para assumir estas iniciativas","1","0.17","2025"
"Adoção de IA","Falando especificamente de LLM","1","0.17","2025"
"Adoção de IA","Orçamento insuficiente","1","0.17","2025"
"Adoção de IA","Não é o momento","1","0.17","2025"
"Adoção de IA","x","1","0.17","2025"
"Adoção de IA","Preparação","1","0.17","2025"
"Gestão de Dados","1","62","9.51","2025"
"Adoção de IA","Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos).","100","17.04","2025"
"Adoção de IA","Não sei responder","2","0.34","2025"
"Adoção de IA","não faz muito sentido pro nosso negócio. Temos muitos modelos de machine learning","1","0.17","2025"
"Adoção de IA","mas LLM só em contextos específicos.","1","0.17","2025"
"Adoção de IA","Não temos dificuldades nesse sentido.","1","0.17","2025"
"Adoção de IA","Não há motivos","1","0.17","2025"
"Adoção de IA","Não estamos tendo problemas","1","0.17","2025"
"Adoção de IA","Apenas não estamos olhando pra isso no momento","1","0.17","2025"
"Adoção de IA","Braço para executar","1","0.17","2025"
"Adoção de IA","Falta de cultura organizacional","1","0.17","2025"
"Adoção de IA","Alta direção da empresa não vê valor ou não vê esse tipo de iniciativa como prioridade.","44","7.5","2025"
"Adoção de IA","Somos consultoria outros projetos ainda são mais buscados","1","0.17","2025"
"Adoção de IA","Custos","1","0.17","2025"
"Adoção de IA","./","1","0.17","2025"
"Adoção de IA","Chefes irresponsáveis","1","0.17","2025"
"Adoção de IA","Empregados sem capacidade e motivação suficientes","1","0.17","2025"
"Adoção de IA","Falta de compreensão dos casos de uso.","188","32.03","2025"
"Gestão de Dados","0","590","90.49","2025"
"Adoção de IA","Falta de integração entre os produtos da stack. Isso dificulta alto valor agregado nos dados.","1","0.17","2025"
"Adoção de IA","Dificuldade de alinhamento entre os stakeholders para aprovar o modelo a ser desenvolvido.","1","0.17","2025"
"Adoção de IA","difusão e treinamento","1","0.17","2025"
"Adoção de IA","Fadiga de IA","1","0.17","2025"
"Adoção de IA","Casos de uso com realmente retorno","1","0.17","2025"
"Adoção de IA","Estamos adotando","1","0.17","2025"
"Adoção de IA","Dados da empresa não estão prontos para uso de IA Generativa.","216","36.8","2025"
"Adoção de IA","Incerteza em relação a regulamentação ou questões regulatórias.","58","9.88","2025"
"Adoção de IA","tipo de dados usados para treinar um modelo de terceiros).","54","9.2","2025"
"Adoção de IA","Fornecedor do ERP não está pronto para conversar com IA","1","0.17","2025"
